============================================================
RESUME ENTRAINEMENT - run_20260519_162837
============================================================

Best epoch        : 29
Best Val Dice     : 0.8491
Best Val IoU      : 0.7532
Val Loss (best ep): 0.1335

Nombre d'epochs   : 30
Checkpoint epoch  : 29
Checkpoint Dice   : 0.8490765599455413

============================================================
HYPERPARAMETRES
============================================================
Encoder           : resnet34
Encoder weights   : imagenet
Loss type         : bce_dice
BCE weight        : 0.5
Learning rate     : 0.0001
Weight decay      : 1e-05
Batch size        : 4
Num epochs        : 30
Image size        : 1024
NPZ key / target  : mask_grid_major.png


==============================================================================
DETAILS PAR EPOCH
==============================================================================

Epoch | Train Loss |  Val Loss | Train Dice |  Val Dice | Train IoU |  Val IoU |       LR
------------------------------------------------------------------------------------------------
  1   |     0.4833 |    0.3083 |     0.5517 |    0.7095 |    0.4082 |   0.5728 |  1.0e-04
  2   |     0.3060 |    0.2355 |     0.6748 |    0.7485 |    0.5392 |   0.6238 |  1.0e-04
  3   |     0.2635 |    0.2065 |     0.7024 |    0.7695 |    0.5719 |   0.6500 |  1.0e-04
  4   |     0.2450 |    0.1962 |     0.7171 |    0.7769 |    0.5911 |   0.6607 |  1.0e-04
  5   |     0.2293 |    0.1878 |     0.7356 |    0.7838 |    0.6113 |   0.6683 |  1.0e-04
  6   |     0.2219 |    0.1770 |     0.7420 |    0.7976 |    0.6196 |   0.6861 |  1.0e-04
  7   |     0.2140 |    0.1783 |     0.7500 |    0.7924 |    0.6298 |   0.6816 |  1.0e-04
  8   |     0.2089 |    0.1729 |     0.7547 |    0.8000 |    0.6361 |   0.6889 |  1.0e-04
  9   |     0.2069 |    0.1703 |     0.7559 |    0.8043 |    0.6393 |   0.6941 |  1.0e-04
 10   |     0.1982 |    0.1666 |     0.7662 |    0.8084 |    0.6518 |   0.6976 |  1.0e-04
 11   |     0.1985 |    0.1619 |     0.7651 |    0.8155 |    0.6502 |   0.7068 |  1.0e-04
 12   |     0.1946 |    0.1602 |     0.7695 |    0.8166 |    0.6559 |   0.7082 |  1.0e-04
 13   |     0.1913 |    0.1595 |     0.7737 |    0.8175 |    0.6597 |   0.7113 |  1.0e-04
 14   |     0.1868 |    0.1533 |     0.7782 |    0.8250 |    0.6659 |   0.7195 |  1.0e-04
 15   |     0.1858 |    0.1556 |     0.7801 |    0.8226 |    0.6679 |   0.7173 |  1.0e-04
 16   |     0.1802 |    0.1529 |     0.7874 |    0.8264 |    0.6760 |   0.7222 |  1.0e-04
 17   |     0.1837 |    0.1503 |     0.7827 |    0.8288 |    0.6715 |   0.7241 |  1.0e-04
 18   |     0.1767 |    0.1520 |     0.7901 |    0.8284 |    0.6806 |   0.7277 |  1.0e-04
 19   |     0.1776 |    0.1568 |     0.7892 |    0.8219 |    0.6793 |   0.7183 |  1.0e-04
 20   |     0.1746 |    0.1458 |     0.7930 |    0.8336 |    0.6844 |   0.7320 |  1.0e-04
 21   |     0.1761 |    0.1452 |     0.7918 |    0.8343 |    0.6821 |   0.7326 |  1.0e-04
 22   |     0.1671 |    0.1389 |     0.8020 |    0.8415 |    0.6946 |   0.7423 |  1.0e-04
 23   |     0.1655 |    0.1394 |     0.8036 |    0.8410 |    0.6971 |   0.7406 |  1.0e-04
 24   |     0.1687 |    0.1427 |     0.7988 |    0.8401 |    0.6918 |   0.7404 |  1.0e-04
 25   |     0.1648 |    0.1421 |     0.8049 |    0.8397 |    0.6989 |   0.7417 |  1.0e-04
 26   |     0.1671 |    0.1421 |     0.8005 |    0.8372 |    0.6946 |   0.7384 |  1.0e-04
 27   |     0.1642 |    0.1436 |     0.8050 |    0.8361 |    0.6991 |   0.7353 |  1.0e-04
 28   |     0.1595 |    0.1459 |     0.8104 |    0.8331 |    0.7066 |   0.7309 |  1.0e-04
 29 * |     0.1540 |    0.1335 |     0.8163 |    0.8491 |    0.7143 |   0.7532 |  5.0e-05
 30   |     0.1545 |    0.1339 |     0.8156 |    0.8485 |    0.7136 |   0.7518 |  5.0e-05

(*) Epoch 29 = best_model (val_dice = 0.8491)
