============================================================
RESUME ENTRAINEMENT - run_20260518_164651
============================================================

Best epoch        : 28
Best Val Dice     : 0.7888
Best Val IoU      : 0.6717
Val Loss (best ep): 0.1252

Nombre d'epochs   : 30
Checkpoint epoch  : 28
Checkpoint Dice   : 0.7888258422699924

============================================================
HYPERPARAMETRES
============================================================
Encoder           : resnet34
Encoder weights   : imagenet
Loss type         : bce_dice
BCE weight        : 0.5
Learning rate     : 0.0001
Weight decay      : 1e-05
Batch size        : 4
Num epochs        : 30
Image size        : 1024
NPZ key / target  : grid_major_5mm


==============================================================================
DETAILS PAR EPOCH
==============================================================================

Epoch | Train Loss |  Val Loss | Train Dice |  Val Dice | Train IoU |  Val IoU |       LR
------------------------------------------------------------------------------------------------
  1   |     0.5940 |    0.4438 |     0.3328 |    0.5562 |    0.2231 |   0.4013 |  1.0e-04
  2   |     0.3637 |    0.2483 |     0.5464 |    0.6689 |    0.4020 |   0.5282 |  1.0e-04
  3   |     0.2606 |    0.1996 |     0.6003 |    0.6871 |    0.4602 |   0.5486 |  1.0e-04
  4   |     0.2287 |    0.1848 |     0.6285 |    0.7022 |    0.4894 |   0.5653 |  1.0e-04
  5   |     0.2173 |    0.1769 |     0.6400 |    0.7065 |    0.5033 |   0.5717 |  1.0e-04
  6   |     0.2087 |    0.1622 |     0.6517 |    0.7309 |    0.5157 |   0.6020 |  1.0e-04
  7   |     0.2005 |    0.1658 |     0.6642 |    0.7222 |    0.5295 |   0.5890 |  1.0e-04
  8   |     0.1933 |    0.1602 |     0.6752 |    0.7308 |    0.5420 |   0.5985 |  1.0e-04
  9   |     0.1905 |    0.1501 |     0.6791 |    0.7503 |    0.5471 |   0.6258 |  1.0e-04
 10   |     0.1896 |    0.1655 |     0.6801 |    0.7198 |    0.5483 |   0.5843 |  1.0e-04
 11   |     0.1867 |    0.1546 |     0.6853 |    0.7406 |    0.5538 |   0.6119 |  1.0e-04
 12   |     0.1803 |    0.1496 |     0.6957 |    0.7472 |    0.5649 |   0.6206 |  1.0e-04
 13   |     0.1773 |    0.1409 |     0.7007 |    0.7629 |    0.5709 |   0.6407 |  1.0e-04
 14   |     0.1779 |    0.1469 |     0.6991 |    0.7525 |    0.5708 |   0.6269 |  1.0e-04
 15   |     0.1786 |    0.1410 |     0.6980 |    0.7622 |    0.5692 |   0.6399 |  1.0e-04
 16   |     0.1750 |    0.1433 |     0.7039 |    0.7579 |    0.5758 |   0.6332 |  1.0e-04
 17   |     0.1709 |    0.1362 |     0.7107 |    0.7703 |    0.5835 |   0.6511 |  1.0e-04
 18   |     0.1727 |    0.1490 |     0.7072 |    0.7468 |    0.5802 |   0.6195 |  1.0e-04
 19   |     0.1699 |    0.1339 |     0.7121 |    0.7740 |    0.5857 |   0.6570 |  1.0e-04
 20   |     0.1644 |    0.1387 |     0.7213 |    0.7651 |    0.5952 |   0.6429 |  1.0e-04
 21   |     0.1659 |    0.1368 |     0.7190 |    0.7685 |    0.5929 |   0.6481 |  1.0e-04
 22   |     0.1641 |    0.1390 |     0.7219 |    0.7649 |    0.5968 |   0.6417 |  1.0e-04
 23   |     0.1639 |    0.1351 |     0.7217 |    0.7704 |    0.5979 |   0.6488 |  1.0e-04
 24   |     0.1601 |    0.1417 |     0.7284 |    0.7595 |    0.6044 |   0.6332 |  1.0e-04
 25   |     0.1598 |    0.1323 |     0.7290 |    0.7761 |    0.6052 |   0.6559 |  1.0e-04
 26   |     0.1622 |    0.1427 |     0.7246 |    0.7590 |    0.6009 |   0.6334 |  1.0e-04
 27   |     0.1548 |    0.1412 |     0.7375 |    0.7595 |    0.6142 |   0.6332 |  1.0e-04
 28 * |     0.1554 |    0.1252 |     0.7365 |    0.7888 |    0.6130 |   0.6717 |  1.0e-04
 29   |     0.1576 |    0.1258 |     0.7327 |    0.7870 |    0.6095 |   0.6697 |  1.0e-04
 30   |     0.1524 |    0.1320 |     0.7417 |    0.7758 |    0.6189 |   0.6539 |  1.0e-04

(*) Epoch 28 = best_model (val_dice = 0.7888)
